,sync,n_gaze_face,a_gaze_face,n_gaze_mask,a_gaze_mask
0,False,False,False,False,False
1,True,False,False,False,False
2,False,False,False,False,False
3,False,False,False,False,False
4,False,False,False,False,False
5,,,,,
6,,,,,
7,,,,,
8,False,True,False,True,False
9,,,,,
10,,,,,
11,,,,,
12,,,,,
13,False,False,False,False,False
14,False,False,False,False,False
15,False,False,False,False,False
16,False,False,False,False,False
17,False,False,False,False,False
18,False,False,False,False,False
19,False,False,False,False,False
20,False,False,False,False,False
21,True,False,False,False,False
22,False,False,False,False,False
23,True,False,False,False,False
24,True,False,False,False,False
25,True,False,False,False,False
26,True,False,False,False,False
27,True,False,False,False,False
28,True,False,False,False,False
29,False,False,False,False,False
30,True,False,False,False,False
31,True,False,False,False,False
32,False,False,False,False,False
33,True,False,False,False,False
34,True,False,False,False,False
35,False,False,False,False,False
36,True,False,False,False,False
37,True,False,False,False,False
38,False,False,False,False,False
39,False,False,False,False,False
40,False,False,False,False,False
41,False,False,False,False,False
42,False,False,False,False,False
43,True,False,False,False,False
44,True,False,False,False,False
45,True,False,False,False,False
46,False,False,False,False,False
47,False,False,False,False,False
48,False,False,False,False,False
49,False,False,False,False,False
50,False,False,False,False,False
51,False,False,False,False,False
52,,,,,
53,False,False,False,False,False
54,,,,,
55,,,,,
56,,,,,
57,False,True,False,True,False
58,False,True,False,True,False
59,,,,,
60,,,,,
61,True,True,False,True,False
62,False,True,False,True,False
63,,,,,
64,True,False,False,False,False
65,False,False,False,False,False
66,False,False,False,False,False
67,,,,,
68,,,,,
69,,,,,
70,,,,,
71,,,,,
72,,,,,
73,True,False,False,False,False
74,True,False,False,False,False
75,True,False,False,False,False
76,,,,,
77,,,,,
78,,,,,
79,,,,,
80,,,,,
81,,,,,
82,,,,,
83,,,,,
84,False,False,False,False,False
85,False,False,False,False,False
86,False,False,False,False,False
87,False,False,False,False,False
88,False,False,False,False,False
89,False,False,False,False,False
90,False,False,False,False,False
91,,,,,
92,False,False,False,False,False
93,False,False,False,False,False
94,False,False,True,False,True
95,False,False,True,False,True
96,False,True,True,True,True
97,False,True,True,True,True
98,,,,,
99,False,True,True,True,True
100,,,,,
101,,,,,
102,False,True,True,True,True
103,False,True,True,True,True
104,,,,,
105,,,,,
106,,,,,
107,,,,,
108,False,True,True,True,True
109,,,,,
110,,,,,
111,,,,,
112,,,,,
113,False,True,True,True,True
114,False,True,True,True,True
115,,,,,
116,False,False,True,False,True
117,False,True,True,True,True
118,False,True,True,True,True
119,False,True,True,True,True
120,False,True,True,True,True
121,,,,,
122,,,,,
123,False,True,True,True,True
124,False,True,True,True,True
125,False,True,True,True,True
126,False,True,True,True,True
127,False,True,True,True,True
128,False,True,True,True,True
129,False,True,True,True,True
130,False,True,True,True,True
131,,,,,
132,False,True,True,True,True
133,False,True,True,True,True
134,False,True,True,True,True
135,False,True,True,True,True
136,False,True,True,True,True
137,False,True,True,True,True
138,False,True,True,True,True
139,False,True,True,True,True
140,False,True,True,True,True
141,False,True,True,True,True
142,False,True,True,True,True
143,False,True,True,True,True
144,False,True,True,True,True
145,False,True,True,True,True
146,False,True,False,True,False
147,False,True,False,True,False
148,,,,,
149,False,False,False,False,False
150,False,False,False,False,False
151,False,True,False,True,False
152,,,,,
153,False,True,True,True,True
154,False,True,True,True,True
155,False,True,True,True,True
156,False,True,True,True,True
157,False,True,True,True,True
158,False,True,True,True,True
159,False,True,True,True,True
160,False,True,False,True,False
161,,,,,
162,False,True,True,True,True
163,False,True,True,True,True
164,False,True,True,True,True
165,False,True,True,True,True
166,,,,,
167,False,True,True,True,False
168,False,True,True,True,False
169,False,True,True,True,True
170,,,,,
171,False,True,True,True,True
172,False,True,True,True,True
