,sync,n_gaze_face,a_gaze_face,n_gaze_mask,a_gaze_mask
0,False,True,False,True,False
1,True,False,False,False,False
2,True,False,False,False,False
3,False,False,False,False,False
4,False,False,False,False,False
5,False,False,False,False,False
6,False,False,False,False,False
7,False,True,False,True,False
8,False,True,False,True,False
9,False,True,False,True,False
10,False,True,False,True,False
11,False,True,False,True,False
12,False,True,False,True,False
13,False,True,False,True,False
14,,,,,
15,,,,,
16,False,True,False,True,False
17,False,True,False,True,False
18,False,True,False,True,False
19,True,False,False,True,False
20,True,False,False,False,False
21,False,False,False,False,False
22,False,False,False,False,False
23,True,False,False,False,False
24,False,False,False,False,False
25,False,False,True,False,True
26,False,False,True,False,True
27,False,False,True,False,True
28,False,False,True,False,True
29,False,False,True,False,True
30,False,False,True,False,True
31,False,True,True,True,True
32,False,True,True,True,True
33,False,True,True,True,True
34,False,True,True,True,True
35,False,True,True,True,True
36,False,True,True,True,True
37,False,True,True,True,True
38,False,True,True,True,True
39,False,True,True,True,True
40,False,True,True,True,False
41,False,True,True,True,True
42,False,True,True,True,True
43,False,True,True,True,True
44,False,True,True,True,True
45,False,True,True,True,True
46,False,True,False,True,False
47,False,True,False,True,False
48,False,True,True,True,True
49,False,True,False,True,False
50,False,True,False,True,False
51,False,True,True,True,False
52,False,True,True,True,True
53,False,True,True,True,True
54,False,True,True,True,True
55,False,True,True,True,True
56,False,False,False,True,False
57,False,False,False,True,False
58,False,False,True,True,True
59,False,True,True,True,True
60,False,True,True,True,True
61,False,False,False,True,False
62,False,True,False,True,True
63,False,True,False,True,False
64,False,True,False,True,False
65,False,True,True,True,True
66,False,True,True,True,True
67,False,True,True,True,False
68,False,True,True,True,False
69,False,True,True,True,False
70,False,True,True,True,True
71,False,True,True,True,True
72,False,True,True,True,True
73,False,True,True,True,True
74,False,True,True,True,True
75,,,,,
76,,,,,
77,False,True,True,True,True
78,,,,,
79,,,,,
80,,,,,
81,,,,,
82,,,,,
83,False,True,False,True,True
84,False,True,True,True,True
85,False,True,True,True,True
86,False,True,True,True,True
87,,,,,
88,False,True,True,True,True
89,False,True,True,True,True
90,False,False,True,True,True
91,,,,,
92,True,False,False,True,True
93,False,False,False,False,False
94,False,False,False,False,False
95,False,True,False,True,False
96,False,True,True,True,True
97,False,True,True,True,True
98,False,True,True,True,True
99,False,True,True,True,True
100,,,,,
101,False,True,True,True,True
102,False,True,True,True,True
103,False,True,True,True,True
104,False,True,True,True,True
105,False,True,True,True,True
106,,,,,
107,False,True,True,True,True
108,False,True,True,True,True
109,,,,,
110,False,True,True,True,True
111,False,True,True,True,True
112,False,True,True,True,True
113,False,True,True,True,True
114,False,True,True,True,True
115,False,True,True,True,True
116,False,True,True,True,True
