,sync,n_gaze_face,a_gaze_face,n_gaze_mask,a_gaze_mask
0,,,,,
1,,,,,
2,,,,,
3,,,,,
4,,,,,
5,,,,,
6,,,,,
7,,,,,
8,,,,,
9,,,,,
10,False,False,True,False,True
11,False,True,True,True,True
12,False,True,True,True,True
13,False,True,True,True,True
14,False,True,True,True,True
15,False,True,True,True,True
16,False,True,True,True,True
17,False,True,True,True,True
18,False,True,True,True,True
19,False,True,True,True,True
20,False,True,True,True,True
21,False,False,True,True,True
22,False,False,True,True,True
23,False,True,True,True,True
24,False,True,True,True,True
25,False,True,True,True,True
26,False,True,True,True,True
27,False,True,True,True,True
28,False,True,True,True,True
29,False,True,True,True,True
30,False,False,True,False,True
31,False,True,True,True,True
32,False,True,True,True,True
33,False,True,True,True,True
34,False,True,True,True,True
35,False,True,True,True,True
36,False,True,True,True,True
37,False,True,True,True,True
38,False,True,True,True,True
39,False,True,True,True,True
40,False,True,True,True,True
41,False,True,True,True,True
42,False,True,True,True,True
43,False,True,True,True,True
44,False,True,True,True,True
45,False,True,True,True,True
46,False,True,True,True,True
47,False,True,True,True,True
48,False,True,True,True,True
49,False,True,True,True,True
50,False,True,True,True,True
51,False,True,True,True,True
52,True,False,False,False,True
53,,,,,
54,,,,,
55,,,,,
56,,,,,
57,,,,,
58,,,,,
59,False,True,False,True,False
60,False,True,False,True,False
61,False,True,False,True,False
62,False,True,True,True,True
63,False,True,True,True,True
64,False,True,True,True,True
65,False,False,True,True,True
66,False,False,True,False,True
67,False,True,True,True,True
68,False,False,True,False,True
69,False,False,True,False,True
70,False,True,True,True,True
71,False,True,True,True,True
72,False,True,True,True,True
73,False,True,True,True,True
74,False,True,True,True,True
75,False,True,True,False,True
76,False,True,True,True,True
77,False,True,True,True,True
78,False,True,True,True,True
79,False,True,True,True,True
80,False,True,True,True,True
81,False,True,True,True,True
82,False,True,True,True,True
83,False,True,True,True,True
84,False,False,True,False,True
85,False,True,True,True,True
86,False,True,True,True,True
87,False,True,True,True,True
88,False,True,True,True,True
89,False,True,True,True,True
90,False,True,True,False,True
91,False,True,True,True,True
92,False,True,True,True,True
93,False,True,True,True,True
94,False,True,True,True,True
95,False,True,True,True,True
96,False,True,True,True,True
97,False,True,True,True,True
98,False,True,True,True,True
99,False,True,True,False,True
100,False,True,True,True,True
101,False,True,False,False,False
102,False,True,True,True,True
103,False,True,True,True,True
104,False,True,True,True,True
105,False,True,True,True,True
106,False,True,True,True,True
107,False,True,True,True,True
108,False,False,True,False,True
109,False,False,True,False,True
110,False,True,True,True,True
111,False,True,False,True,False
112,False,True,False,True,False
113,,,,,
114,,,,,
115,False,True,True,True,True
116,False,True,False,True,False
117,False,True,True,True,True
118,False,True,True,True,True
119,False,True,True,True,True
120,False,True,True,True,True
121,False,True,True,True,True
122,False,False,True,True,True
123,False,False,True,True,True
