,sync,n_gaze_face,a_gaze_face,n_gaze_mask,a_gaze_mask
0,,,,,
1,False,True,False,True,False
2,,,,,
3,,,,,
4,,,,,
5,,,,,
6,,,,,
7,,,,,
8,,,,,
9,,,,,
10,,,,,
11,,,,,
12,,,,,
13,,,,,
14,,,,,
15,False,False,False,False,False
16,False,False,False,False,False
17,True,False,False,False,False
18,True,False,False,False,False
19,True,False,False,False,False
20,True,False,False,False,False
21,True,False,False,False,False
22,False,False,False,False,False
23,False,False,False,False,False
24,False,False,False,False,False
25,False,False,False,False,False
26,False,False,False,False,False
27,False,False,False,False,False
28,False,False,False,False,False
29,False,False,False,False,False
30,False,False,False,False,False
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
45,,,,,
46,,,,,
47,,,,,
48,,,,,
49,,,,,
50,,,,,
51,,,,,
52,,,,,
53,,,,,
54,,,,,
55,,,,,
56,,,,,
57,,,,,
58,,,,,
59,,,,,
60,,,,,
61,,,,,
62,,,,,
63,,,,,
64,,,,,
65,,,,,
66,,,,,
67,,,,,
68,,,,,
69,,,,,
70,,,,,
71,,,,,
72,,,,,
73,,,,,
74,,,,,
75,True,False,False,False,False
76,,,,,
77,,,,,
78,,,,,
79,,,,,
80,,,,,
81,,,,,
82,,,,,
83,,,,,
84,,,,,
85,,,,,
86,,,,,
87,,,,,
88,False,False,False,False,False
89,,,,,
90,,,,,
91,False,False,False,False,False
92,False,False,False,False,False
93,False,False,False,False,False
94,True,False,False,False,False
95,False,False,False,False,False
96,False,False,False,False,False
97,False,False,False,False,False
98,False,False,False,False,False
99,True,False,False,False,False
100,True,False,False,False,False
101,True,False,False,False,False
102,True,False,False,False,False
103,True,False,False,False,False
104,True,False,False,False,False
105,False,False,False,False,False
106,False,False,False,False,False
107,True,False,False,False,False
108,True,False,False,False,False
109,True,False,False,False,False
110,True,False,False,False,False
111,False,False,False,False,False
112,False,False,False,False,False
113,False,False,False,False,False
114,False,False,False,False,False
115,True,False,False,False,False
116,False,False,False,False,False
117,False,False,False,False,False
118,False,False,False,False,False
119,False,False,False,False,False
120,False,False,False,False,False
121,False,False,False,False,False
122,False,False,False,False,False
123,False,False,False,False,False
124,False,False,False,False,False
125,True,False,False,False,False
126,True,False,False,False,False
127,True,False,False,False,False
128,True,False,False,False,False
129,True,False,False,False,False
130,False,False,False,False,False
131,True,False,False,False,False
132,True,False,False,False,False
133,True,False,False,False,False
134,True,False,False,False,False
135,False,False,False,False,False
136,True,False,False,False,False
137,True,False,False,False,False
138,True,False,False,False,False
139,True,False,False,False,False
140,True,False,False,False,False
141,True,False,False,False,False
142,False,True,False,True,False
143,False,True,False,True,False
144,False,True,False,True,False
145,False,True,False,True,False
146,False,False,False,False,False
147,False,True,False,True,False
148,False,True,False,True,False
149,False,True,False,True,False
150,False,True,False,True,False
151,False,True,False,True,False
152,,,,,
153,,,,,
154,True,False,False,False,False
155,True,False,False,False,False
156,True,False,False,False,False
157,False,False,False,False,False
158,False,True,False,True,False
159,False,True,True,True,True
160,False,True,True,True,True
161,False,True,True,True,True
162,False,True,True,True,True
163,False,True,True,True,True
164,False,False,True,False,False
165,False,True,True,True,True
166,False,False,False,False,False
167,False,False,True,False,False
168,False,True,True,True,True
169,False,True,True,True,True
170,True,True,False,True,False
171,False,True,False,True,False
172,False,True,True,True,True
173,False,True,True,True,False
174,False,False,True,True,True
175,False,True,True,True,True
176,False,True,True,True,True
177,False,True,True,True,False
178,False,True,True,True,True
179,False,True,True,True,True
180,False,True,True,True,True
181,False,True,True,True,True
182,False,True,True,True,False
183,False,True,True,True,True
184,False,True,True,True,True
185,False,True,True,True,True
186,False,True,True,True,True
187,False,True,True,True,True
188,False,False,True,False,True
189,False,False,True,False,True
190,False,True,True,True,True
191,False,True,True,True,True
192,False,True,True,True,True
193,False,True,True,True,True
194,False,False,True,False,True
195,False,False,True,False,True
196,False,False,True,False,True
197,False,True,True,True,True
198,False,True,True,True,True
199,False,True,True,True,True
200,False,True,True,True,True
201,True,True,False,True,False
202,True,True,False,True,False
203,True,True,False,True,False
204,False,True,True,True,True
205,True,True,False,True,False
206,False,True,True,True,True
207,False,True,False,True,False
208,False,True,True,True,True
209,False,True,True,True,True
210,False,True,True,True,True
211,False,True,True,True,True
212,False,True,True,True,True
213,False,True,True,True,True
214,False,True,True,True,True
215,False,True,True,True,True
216,False,True,True,True,True
217,True,True,False,True,False
218,False,True,False,True,False
219,False,True,False,True,False
220,False,True,False,True,False
221,False,False,False,False,False
222,True,False,False,False,False
223,True,False,False,True,False
224,False,False,False,False,False
225,False,False,False,False,False
226,False,False,False,False,False
227,True,False,False,False,False
228,False,False,False,False,False
229,True,False,False,True,False
230,True,False,False,True,False
231,False,False,False,True,False
232,False,False,False,False,False
233,False,False,False,True,False
234,False,False,False,False,False
235,False,False,False,False,False
236,False,False,False,False,False
237,False,False,False,False,False
238,True,False,False,False,False
239,True,False,False,False,False
240,True,False,False,True,False
241,False,False,False,False,False
242,False,False,False,False,False
243,False,False,False,False,False
244,True,False,False,False,False
245,False,False,False,False,False
246,True,False,False,False,False
247,True,False,False,False,False
248,False,False,False,True,False
249,True,False,False,True,False
250,True,True,False,True,False
251,False,True,False,True,False
252,False,False,False,True,False
253,False,False,False,False,False
254,False,False,False,False,False
255,False,False,False,False,False
256,True,False,False,True,False
257,False,True,False,True,False
258,False,True,False,True,False
259,False,False,False,False,False
260,True,False,False,True,False
261,False,True,False,True,False
262,False,True,False,True,False
263,False,False,False,True,False
264,False,False,False,False,False
265,True,False,False,True,False
266,True,False,False,True,False
267,True,False,False,True,False
268,False,False,False,True,False
269,False,False,False,False,False
270,False,False,False,False,False
271,False,False,False,False,False
272,False,False,False,False,False
273,False,False,False,False,False
274,True,False,False,True,False
275,True,False,False,False,False
276,True,False,False,True,False
277,True,False,False,False,False
278,True,False,False,True,False
279,True,False,False,True,False
280,False,False,False,True,False
281,True,False,False,True,False
282,True,False,False,True,False
283,False,False,False,True,False
284,False,False,False,False,False
285,False,False,False,False,False
286,True,False,False,True,False
287,True,False,False,True,False
288,False,False,False,False,False
289,False,False,False,False,False
290,False,False,False,False,False
291,False,False,False,False,False
292,False,False,False,False,False
293,False,False,False,True,False
294,False,False,False,True,False
295,False,False,False,True,False
296,True,False,False,True,False
297,True,False,False,True,False
298,True,False,False,False,False
299,False,False,False,False,False
300,False,False,False,False,False
301,True,False,False,True,False
302,False,True,False,True,False
303,True,True,False,True,False
304,True,False,False,True,False
305,True,False,False,False,False
306,True,False,False,False,False
307,True,False,False,True,False
308,True,False,False,False,False
309,False,False,False,True,False
310,True,False,False,False,False
311,True,False,False,True,False
312,True,False,False,False,False
313,False,False,False,False,False
314,True,False,False,False,False
315,True,False,False,False,False
316,True,False,False,False,False
317,False,False,False,False,False
318,True,False,False,False,False
319,True,False,False,True,False
320,False,False,False,True,False
321,False,True,False,True,False
322,False,True,False,True,False
323,True,False,False,True,False
324,False,False,False,True,False
325,False,False,False,False,False
326,False,False,False,False,False
327,False,True,False,True,False
328,False,True,False,True,False
329,False,True,False,True,False
330,False,False,False,False,False
331,True,False,False,False,False
332,True,False,False,False,False
333,True,False,False,False,False
334,True,False,False,False,False
335,True,False,False,False,False
336,True,False,False,False,False
337,False,False,False,True,False
338,False,False,False,False,False
339,False,False,False,False,False
340,True,False,False,False,False
341,False,False,False,False,False
342,True,False,False,False,False
343,False,False,False,True,False
344,True,False,False,False,False
345,True,False,False,False,False
346,True,False,False,True,False
347,True,False,False,True,False
348,True,False,False,True,False
349,True,False,False,False,False
350,False,False,False,True,False
351,True,False,False,False,False
352,True,False,False,True,False
353,True,False,False,False,False
354,False,False,False,False,False
355,False,False,False,False,False
356,False,False,False,False,False
357,False,False,False,False,False
358,False,False,False,False,False
359,False,False,False,False,False
360,False,False,False,False,False
361,False,False,False,False,False
362,False,False,False,False,False
363,False,False,False,False,False
364,True,False,False,True,False
365,True,False,False,False,False
366,True,False,False,False,False
367,False,False,False,False,False
368,False,False,False,True,False
369,True,False,False,True,False
370,False,False,False,False,False
371,False,False,False,False,False
372,True,False,False,True,False
373,False,False,False,False,False
374,True,False,False,False,False
375,True,False,False,False,False
376,True,False,False,True,False
377,False,False,False,False,False
378,False,False,False,False,False
379,False,False,False,False,False
380,False,False,False,False,False
381,False,False,False,False,False
382,False,False,False,False,False
383,False,False,False,False,False
384,False,False,False,False,False
385,False,False,False,False,False
386,False,False,False,False,False
387,False,False,False,False,False
388,False,False,False,False,False
389,False,False,False,False,False
390,False,False,False,False,False
391,True,False,False,False,False
392,True,False,False,False,False
393,True,False,False,False,False
394,True,False,False,False,False
395,True,False,False,False,False
396,True,False,False,False,False
397,True,False,False,False,False
398,True,False,False,False,False
399,True,False,False,False,False
400,True,False,False,False,False
401,True,False,False,False,False
402,True,False,False,False,False
403,True,False,False,False,False
404,False,False,False,False,False
405,True,False,False,False,False
406,True,False,False,False,False
407,False,False,False,False,False
408,False,False,False,False,False
409,False,False,False,False,False
410,False,False,False,False,False
411,True,False,False,False,False
412,False,False,False,True,False
413,False,False,False,True,False
414,False,False,False,True,False
415,True,False,False,True,False
416,False,False,False,False,False
417,False,False,False,False,False
418,True,False,False,False,False
419,True,False,False,False,False
420,False,False,False,False,False
421,True,False,False,True,False
422,False,False,False,False,False
423,False,False,False,False,False
424,False,False,False,False,False
425,False,False,False,False,False
426,False,False,False,False,False
427,True,False,False,False,False
428,True,False,False,False,False
429,True,True,False,True,False
430,True,True,False,True,False
431,True,True,False,True,False
432,True,False,False,False,False
433,False,False,False,False,False
434,True,False,False,False,False
435,True,False,False,False,False
436,True,False,False,False,False
437,True,False,False,False,False
438,True,False,False,False,False
439,True,False,False,False,False
440,False,False,False,False,False
441,False,False,False,False,False
442,False,True,False,True,False
443,False,False,False,False,False
444,False,False,False,False,False
445,True,False,False,False,False
446,False,False,False,False,False
447,True,False,False,False,False
448,True,False,False,False,False
449,True,False,False,False,False
450,True,False,False,False,False
451,True,False,False,False,False
452,True,False,False,False,False
453,False,False,False,False,False
454,True,False,False,False,False
455,True,False,False,False,False
456,True,False,False,False,False
457,True,False,False,False,False
458,False,False,False,False,False
459,False,False,False,False,False
460,False,False,False,False,False
461,False,False,False,False,False
462,False,False,False,False,False
463,False,False,False,False,False
464,False,True,False,True,False
465,False,False,False,False,False
466,True,False,False,False,False
467,True,False,False,False,False
468,False,False,False,False,False
469,False,False,False,False,False
470,False,False,False,False,False
471,False,False,False,False,False
472,False,False,False,False,False
473,False,False,False,False,False
474,False,True,False,True,False
475,False,False,False,False,False
476,True,False,False,False,False
477,False,False,False,False,False
478,True,False,False,False,False
479,True,False,False,False,False
480,False,False,False,False,False
481,False,False,False,False,False
482,True,False,False,True,False
483,False,False,False,False,False
484,False,False,False,False,False
485,False,False,False,True,False
486,False,False,False,False,False
487,False,False,False,False,False
488,False,False,False,False,False
489,False,False,False,False,False
490,False,False,False,False,False
491,True,False,False,False,False
492,True,False,False,False,False
493,,,,,
494,,,,,
495,False,True,False,True,False
496,False,True,False,True,False
497,True,False,False,False,False
498,True,False,False,False,False
499,False,False,False,False,False
500,True,False,False,False,False
501,False,False,False,False,False
502,False,False,False,False,False
503,False,False,False,False,False
504,False,False,False,False,False
505,False,False,False,False,False
506,False,False,False,False,False
507,False,False,False,False,False
508,False,False,False,False,False
509,False,False,False,False,False
510,True,False,False,True,False
511,True,False,False,True,False
512,True,False,False,True,False
513,True,False,False,True,False
514,True,False,False,False,False
515,True,False,False,False,False
516,True,False,False,True,False
517,True,False,False,False,True
518,False,False,False,False,False
519,True,False,False,False,False
520,False,False,False,False,False
521,False,False,False,False,False
522,False,False,False,False,False
523,False,False,False,False,False
524,False,False,False,False,True
525,False,False,False,False,False
526,False,False,False,False,False
527,False,False,False,False,False
528,True,False,False,False,False
529,True,False,False,False,False
530,True,False,False,False,True
531,False,False,False,False,True
532,True,False,False,False,True
533,True,False,False,False,False
534,False,False,False,False,False
535,True,False,False,False,False
536,True,False,False,False,False
537,True,False,False,False,False
538,True,False,False,False,False
539,True,False,False,False,False
540,True,False,False,False,False
541,False,False,False,False,False
542,False,False,False,False,False
543,False,False,False,False,False
544,False,False,False,False,False
545,False,False,False,False,False
546,False,False,False,False,False
547,False,False,False,False,False
548,True,False,False,False,False
549,True,False,False,False,False
550,True,False,False,False,False
551,True,False,False,False,False
552,True,False,False,False,False
553,True,False,False,False,False
554,True,False,False,False,False
555,True,False,False,False,True
556,True,False,False,False,False
557,True,False,False,False,False
558,True,False,False,False,False
559,True,False,False,False,False
560,True,False,False,False,False
561,True,False,False,False,False
562,True,False,False,False,False
563,False,False,False,False,False
564,True,False,False,False,False
565,True,False,False,False,False
566,True,False,False,False,False
567,False,False,False,False,False
568,False,False,False,False,False
569,False,False,False,False,False
570,True,False,False,True,False
571,True,False,False,True,False
572,True,False,False,False,False
573,True,False,False,False,False
574,True,False,False,False,False
575,True,False,False,False,False
576,True,False,False,False,False
577,False,False,False,False,False
578,False,False,False,False,False
579,True,False,False,False,False
580,True,False,False,True,False
581,True,False,False,True,False
582,True,False,False,False,False
583,True,False,False,True,False
584,True,False,False,True,False
585,True,False,False,True,False
586,True,False,False,True,False
587,True,False,False,False,False
588,False,False,False,True,False
589,,,,,
590,False,False,False,False,False
591,False,False,False,False,False
592,False,False,False,False,False
593,True,False,False,True,False
594,True,False,False,True,False
595,True,False,False,True,False
596,True,False,False,True,False
597,False,False,False,False,False
598,False,False,False,True,False
599,False,False,False,True,False
600,True,False,False,True,False
601,True,False,False,False,False
602,True,False,False,False,False
603,True,False,False,False,False
604,True,False,False,True,False
605,True,False,False,True,False
606,True,False,False,False,False
607,False,False,False,False,False
608,True,False,False,False,False
609,True,False,False,True,False
610,True,False,False,True,False
611,True,False,False,True,False
612,True,False,False,True,False
613,True,False,False,True,False
614,False,False,False,True,False
615,False,False,False,False,False
616,False,False,False,False,False
617,False,False,False,False,False
618,False,False,False,False,False
619,False,False,False,False,False
620,False,True,False,True,False
621,False,True,False,True,False
622,True,False,False,False,False
623,True,False,False,False,False
624,False,False,False,False,False
625,False,False,False,False,False
626,False,False,False,False,False
627,True,False,False,False,False
628,False,False,False,False,False
629,False,False,False,False,False
630,True,False,False,True,False
631,True,False,False,True,False
632,False,False,False,False,False
633,True,False,False,True,False
634,True,False,False,False,False
635,True,False,False,True,False
636,True,False,False,False,False
637,False,False,False,False,False
638,True,False,False,True,False
639,False,False,False,True,False
640,True,False,False,True,False
641,False,False,False,True,False
642,False,False,False,True,False
643,True,False,False,True,False
644,False,False,False,False,False
645,True,False,False,True,False
646,False,False,False,False,False
647,False,False,False,True,False
648,True,False,False,True,False
649,True,False,False,True,False
650,False,False,False,True,False
651,True,False,False,True,False
652,True,False,False,False,False
653,True,False,False,False,False
654,False,False,False,True,False
655,False,False,False,True,False
656,True,False,False,True,False
657,False,False,False,True,False
658,True,False,False,False,False
659,False,False,False,True,False
660,True,False,False,True,False
661,False,False,False,False,False
662,False,False,False,True,False
663,False,False,False,False,False
664,True,False,False,False,False
665,True,False,False,False,False
666,True,False,False,True,False
667,True,False,False,True,False
668,True,False,False,False,False
669,True,False,False,False,False
670,True,False,False,False,False
671,False,False,False,True,False
672,False,False,False,False,False
673,False,False,False,False,False
674,False,False,False,False,False
675,True,False,False,False,False
676,True,False,False,True,False
677,False,False,False,True,False
678,True,False,False,False,False
679,True,False,False,False,False
680,True,False,False,True,False
681,False,False,False,False,False
682,False,False,False,False,False
683,False,False,False,False,False
684,False,False,False,False,False
685,False,False,False,False,False
686,True,False,False,True,False
687,True,False,False,True,False
688,True,False,False,True,False
689,False,False,False,False,False
690,False,False,False,False,False
691,False,False,False,False,False
692,False,False,False,False,False
693,False,False,False,False,False
694,False,False,False,False,False
695,False,False,False,False,False
696,True,False,False,False,False
697,False,False,False,False,False
698,True,False,False,False,False
699,True,False,False,False,False
700,False,False,False,False,False
701,False,False,False,False,False
702,False,False,False,False,False
703,False,False,False,False,False
704,True,False,False,False,False
705,True,False,False,False,False
706,False,False,False,False,False
707,True,False,False,False,False
708,False,False,False,True,False
709,False,False,False,False,False
710,False,False,False,True,False
711,False,False,False,True,False
712,False,False,False,True,False
713,True,False,False,False,False
714,False,False,False,False,False
715,False,False,False,False,False
716,False,False,False,False,False
717,False,False,False,False,False
718,False,False,False,False,False
719,False,False,False,False,False
720,True,False,False,True,False
721,True,False,False,True,False
722,False,False,False,True,False
723,False,False,False,False,False
724,False,False,False,False,False
725,False,False,False,False,False
726,True,False,False,True,False
727,True,False,False,True,False
728,True,False,False,False,False
729,False,False,False,False,False
730,True,False,False,False,False
731,True,False,False,False,False
732,False,False,False,False,False
733,False,False,False,False,False
734,False,False,False,False,False
735,False,False,False,False,False
736,False,False,False,False,False
737,False,True,False,True,False
738,False,True,False,True,False
739,False,False,False,False,False
740,True,False,False,False,False
741,False,False,False,False,False
742,True,False,False,True,False
743,True,False,False,False,False
744,True,False,False,True,False
745,True,False,False,True,False
746,True,False,False,False,False
747,True,False,False,False,False
748,False,False,False,False,False
749,False,False,False,False,False
750,False,False,False,False,False
751,True,False,False,False,False
752,True,False,False,False,False
753,True,False,False,False,False
754,True,False,False,False,False
755,True,False,False,False,False
756,True,False,False,False,False
757,False,False,False,False,False
758,True,False,False,False,False
759,True,False,False,False,False
760,True,False,False,False,False
761,True,False,False,False,False
762,True,False,False,True,False
763,False,False,False,False,False
764,False,False,False,False,False
765,False,True,False,True,False
766,True,False,False,True,False
767,True,False,False,True,False
768,True,False,False,True,False
769,False,False,False,False,False
770,False,False,False,False,False
771,True,False,False,True,False
772,False,False,False,False,False
773,False,False,False,False,False
774,True,False,False,True,False
775,False,False,False,False,False
776,False,False,False,False,False
777,True,False,False,True,False
778,True,False,False,True,False
779,True,False,False,True,False
780,False,False,False,True,False
781,True,False,False,True,False
782,True,False,False,True,False
783,True,False,False,True,False
784,True,False,False,True,False
785,True,False,False,True,False
786,False,False,False,True,False
787,True,False,False,True,False
788,True,False,False,True,False
789,True,False,False,False,False
790,False,False,False,False,False
791,True,False,False,False,False
792,False,False,False,False,False
793,False,False,False,False,False
794,False,False,False,False,False
795,False,False,False,False,False
796,False,False,False,False,False
797,False,False,False,False,False
798,False,False,False,False,False
799,False,False,False,False,False
800,False,False,False,False,False
801,False,False,False,False,False
802,False,False,False,False,False
803,False,False,False,False,False
804,True,False,False,False,False
805,False,False,False,False,False
806,False,False,False,False,False
807,False,False,False,False,False
808,True,False,False,True,False
809,True,False,False,False,False
810,True,False,False,False,False
811,True,False,False,False,False
812,False,False,False,False,False
813,True,False,False,False,False
814,False,False,False,False,False
815,True,False,False,True,False
816,False,False,False,False,False
817,False,False,False,False,False
818,True,False,False,False,False
819,True,False,False,True,False
820,True,False,False,True,False
821,True,False,False,True,False
822,True,False,False,True,False
823,True,False,False,True,False
824,False,False,False,False,False
825,True,False,False,True,False
826,False,False,False,False,False
827,False,False,False,False,False
828,False,False,False,True,False
829,True,False,False,False,False
830,True,False,False,True,False
831,True,False,False,True,False
832,True,False,False,False,False
833,True,False,False,True,False
834,True,False,False,True,False
835,False,False,False,True,False
836,True,False,False,False,False
837,True,False,False,True,False
838,True,False,False,True,False
839,False,False,False,False,False
840,False,False,False,False,False
841,True,False,False,False,False
842,True,False,False,False,False
843,True,False,False,False,False
844,True,False,False,False,False
845,False,False,False,False,False
846,True,False,False,True,True
847,True,False,False,True,False
848,True,False,False,True,False
849,True,False,False,True,False
850,False,False,False,False,False
851,True,False,False,True,False
852,False,False,False,True,False
853,False,False,False,False,False
854,False,False,False,True,False
855,False,False,False,False,False
856,False,False,False,False,False
857,False,False,False,False,False
858,False,False,False,False,False
859,False,False,False,False,False
860,True,False,False,False,False
861,False,False,False,False,False
862,False,False,False,False,False
863,False,False,False,False,False
864,False,False,False,False,False
865,False,False,False,False,False
866,False,False,False,False,False
867,False,False,False,False,False
868,False,False,False,False,False
869,False,False,False,False,False
870,True,False,False,False,False
871,False,False,False,False,False
872,False,False,False,False,False
873,False,False,False,False,False
874,False,False,False,False,False
875,False,False,False,False,False
876,False,False,False,False,False
877,True,False,False,False,False
878,True,False,False,False,True
879,False,False,False,False,False
880,False,False,False,False,False
881,False,False,False,False,False
882,False,False,False,False,False
883,True,False,False,False,False
884,False,False,False,False,False
885,False,False,False,False,False
886,False,False,False,False,False
887,True,False,False,False,False
888,True,False,False,False,False
889,True,False,False,False,False
890,False,False,False,False,False
891,False,False,False,False,False
892,True,False,False,False,False
893,True,False,False,False,False
894,True,False,False,False,False
895,True,False,False,True,False
896,False,False,False,False,False
897,,,,,
898,True,False,False,True,False
899,True,False,False,True,False
900,False,False,False,False,False
901,False,False,False,False,False
902,False,False,False,False,False
903,False,False,False,False,False
904,False,False,False,False,False
905,True,False,False,False,False
906,True,False,False,True,False
907,True,False,False,False,False
908,True,False,False,False,False
909,True,False,False,False,False
910,True,False,False,True,False
911,True,False,False,True,False
912,True,False,False,True,False
913,True,False,False,True,False
914,False,False,False,True,False
915,True,False,False,True,False
916,True,False,False,True,False
917,True,False,False,True,False
918,,,,,
919,,,,,
920,,,,,
921,,,,,
922,,,,,
923,,,,,
924,,,,,
925,,,,,
926,,,,,
927,,,,,
928,,,,,
929,True,False,False,True,False
930,True,False,False,False,False
931,True,False,False,True,False
932,True,False,False,True,False
933,True,False,False,True,False
934,True,False,False,True,False
935,True,False,False,True,False
936,True,False,False,True,False
937,False,False,False,True,False
938,True,False,False,False,False
939,False,False,False,False,False
940,False,False,False,True,False
941,True,True,False,True,False
942,False,False,False,False,False
943,False,False,False,False,False
944,True,False,True,False,False
945,True,False,True,False,False
