,sync,n_gaze_face,a_gaze_face,n_gaze_mask,a_gaze_mask
0,False,False,False,False,False
1,False,False,False,False,False
2,False,False,False,False,False
3,True,False,False,False,False
4,,,,,
5,False,False,False,False,False
6,False,True,False,True,False
7,False,True,False,True,False
8,False,True,False,True,False
9,False,True,False,True,False
10,,,,,
11,False,True,False,True,False
12,False,True,False,True,False
13,False,True,False,True,False
14,False,True,False,True,False
15,False,True,False,True,False
16,False,True,False,True,False
17,False,True,True,True,True
18,False,True,True,True,True
19,False,True,True,True,True
20,False,True,True,True,True
21,False,True,True,True,True
22,False,True,True,True,True
23,False,True,True,True,True
24,False,True,True,True,True
25,False,True,True,True,True
26,False,True,True,True,True
27,False,True,True,True,True
28,False,True,True,True,True
29,False,True,True,True,True
30,False,True,True,True,True
31,False,True,True,True,True
32,False,True,True,True,True
33,False,True,True,True,False
34,False,True,True,True,False
35,False,True,True,True,True
36,False,True,True,True,True
37,False,True,True,True,True
38,False,True,True,True,True
39,False,True,True,True,True
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
45,,,,,
46,,,,,
47,,,,,
48,,,,,
49,,,,,
50,,,,,
51,,,,,
52,False,False,True,False,True
53,False,True,True,True,True
54,False,True,True,True,True
55,False,True,True,True,True
56,False,True,True,True,True
57,False,True,True,True,True
58,False,False,True,True,True
59,False,False,True,False,True
60,False,True,True,True,True
61,False,False,True,False,True
62,False,False,True,True,True
63,True,False,False,True,False
64,False,True,True,True,True
65,False,True,True,True,True
66,False,True,True,True,True
67,False,True,True,True,True
68,False,True,True,True,True
69,False,True,True,True,True
70,False,True,True,True,True
71,False,True,True,True,True
72,False,True,True,True,True
73,False,False,True,True,True
74,False,False,True,True,True
75,False,True,True,True,True
76,False,True,True,True,True
77,False,True,True,True,True
78,False,True,True,True,True
79,False,True,True,True,True
80,False,True,True,True,True
81,False,True,True,True,True
82,,,,,
83,False,False,True,True,True
84,False,True,True,True,True
85,False,True,True,True,True
86,False,True,True,True,True
87,False,True,True,False,True
88,False,True,True,True,True
89,False,True,True,True,True
90,False,True,True,True,True
91,False,True,True,True,True
92,False,True,True,True,True
93,False,True,True,True,True
94,False,False,True,False,True
95,False,True,True,True,True
96,False,False,True,False,True
97,False,True,True,False,True
98,False,True,True,True,True
99,False,False,False,False,False
100,True,False,False,False,False
101,False,True,True,True,True
102,False,True,True,True,True
103,False,True,True,True,True
104,False,True,True,True,True
105,False,True,True,True,True
106,False,True,True,True,True
107,False,True,True,True,True
108,False,True,True,True,True
109,False,True,True,True,True
110,False,False,True,False,True
111,False,True,True,True,True
112,False,False,True,False,True
113,False,False,False,False,False
114,False,True,False,True,False
115,False,True,True,True,True
116,False,False,True,False,True
117,False,False,True,False,True
118,False,False,True,False,True
119,False,False,True,False,True
120,False,True,True,True,True
121,,,,,
122,False,False,False,False,False
123,False,False,False,False,False
124,False,False,False,False,False
125,False,False,False,False,False
126,True,False,False,False,False
127,False,False,False,False,False
128,False,False,False,False,False
129,False,False,False,False,False
130,True,False,False,False,False
131,True,False,False,False,False
132,True,False,False,False,False
133,False,False,False,False,False
134,False,False,False,False,False
135,True,False,False,False,False
136,False,False,False,False,False
137,False,False,False,False,False
138,True,False,False,False,False
139,False,False,False,False,False
140,True,False,False,False,False
141,False,False,False,False,False
142,True,False,False,False,False
143,False,False,False,False,False
144,True,False,False,False,False
145,True,False,False,False,False
146,False,False,False,False,False
147,True,False,False,False,False
148,True,False,False,False,False
149,True,False,False,False,False
150,True,False,False,False,False
151,True,False,False,False,False
152,True,False,False,False,False
153,True,False,False,False,False
154,True,False,False,False,False
155,False,False,False,False,False
156,False,False,True,False,True
157,False,False,True,False,True
158,False,False,False,False,False
159,,,,,
160,,,,,
161,,,,,
162,,,,,
163,False,False,False,False,True
164,False,False,False,False,False
165,False,False,False,False,False
166,False,False,False,False,False
167,,,,,
168,,,,,
169,,,,,
170,,,,,
171,,,,,
172,,,,,
173,,,,,
174,,,,,
175,,,,,
176,,,,,
177,,,,,
178,,,,,
179,,,,,
180,False,False,False,False,False
181,False,False,False,False,False
182,False,False,False,False,False
183,False,False,False,False,False
184,,,,,
185,,,,,
186,,,,,
187,,,,,
188,,,,,
189,,,,,
190,False,False,False,False,False
191,False,False,False,False,False
192,,,,,
193,False,True,False,True,False
194,True,False,False,False,False
195,,,,,
196,,,,,
197,,,,,
198,,,,,
199,,,,,
200,,,,,
201,,,,,
202,,,,,
203,,,,,
204,,,,,
205,,,,,
206,,,,,
207,,,,,
208,,,,,
209,,,,,
210,,,,,
211,,,,,
212,,,,,
213,,,,,
214,,,,,
215,,,,,
216,False,False,False,False,False
217,False,False,False,False,False
218,,,,,
219,False,False,False,False,False
220,False,False,False,False,False
221,,,,,
222,,,,,
223,,,,,
224,,,,,
225,,,,,
226,,,,,
227,,,,,
228,,,,,
229,,,,,
230,,,,,
231,True,False,False,True,False
232,True,False,False,True,False
233,,,,,
234,,,,,
235,,,,,
236,,,,,
237,,,,,
238,,,,,
239,,,,,
240,,,,,
241,,,,,
242,,,,,
243,,,,,
244,,,,,
245,,,,,
246,,,,,
247,,,,,
248,,,,,
249,,,,,
250,,,,,
251,,,,,
252,,,,,
253,,,,,
254,,,,,
255,,,,,
256,,,,,
257,,,,,
258,,,,,
259,,,,,
260,,,,,
261,,,,,
262,,,,,
263,,,,,
264,,,,,
265,,,,,
266,,,,,
267,,,,,
268,False,False,False,False,False
269,False,False,False,False,False
270,False,False,False,False,False
271,False,False,False,False,False
272,False,False,False,False,False
273,True,False,False,False,False
274,False,False,True,False,True
275,False,False,False,False,False
276,False,False,False,False,False
277,False,False,False,False,False
278,False,False,False,False,False
279,False,False,True,False,True
280,False,False,True,False,True
281,False,True,False,True,False
282,False,True,False,True,False
283,False,False,False,False,False
284,False,True,False,False,False
285,True,False,False,True,False
