,sync,n_gaze_face,a_gaze_face,n_gaze_mask,a_gaze_mask
0,,,,,
1,,,,,
2,,,,,
3,,,,,
4,False,False,False,False,False
5,False,False,False,False,False
6,False,True,True,True,True
7,False,True,True,True,False
8,False,True,True,True,True
9,False,True,True,True,True
10,False,True,True,True,True
11,False,True,True,True,True
12,False,True,True,True,True
13,False,True,True,True,True
14,,,,,
15,False,True,True,True,True
16,False,True,True,True,True
17,False,True,True,True,True
18,False,True,True,True,True
19,,,,,
20,False,True,True,True,True
21,False,True,True,True,True
22,False,True,False,True,False
23,False,True,False,True,False
24,False,True,False,True,False
25,False,True,False,True,False
26,False,True,False,True,False
27,,,,,
28,,,,,
29,,,,,
30,False,True,True,True,True
31,False,True,False,True,False
32,False,True,False,True,False
33,False,True,False,True,False
34,False,True,False,True,False
35,False,True,True,True,True
36,False,True,True,True,True
37,False,True,True,True,True
38,False,True,True,True,True
39,False,True,False,True,False
40,False,True,False,True,False
41,,,,,
42,False,True,True,True,True
43,False,True,True,True,True
44,False,True,True,True,True
45,False,True,True,True,True
46,False,False,True,False,True
47,False,True,True,True,True
48,False,True,True,True,True
49,False,True,True,True,True
50,False,True,True,True,True
51,False,True,False,True,False
52,False,True,True,True,True
53,False,True,True,True,True
54,False,True,True,True,True
55,False,True,False,True,False
56,False,True,False,True,False
57,,,,,
58,False,True,True,True,False
59,False,True,True,True,True
60,False,True,True,True,True
61,False,True,True,True,False
62,False,True,True,True,True
63,False,True,False,True,False
64,False,True,True,True,True
65,False,True,True,True,True
66,False,True,False,True,False
67,False,True,False,True,False
68,False,True,False,True,False
69,False,True,True,True,True
70,False,True,True,True,True
71,False,True,True,True,True
72,False,True,True,True,True
73,False,True,False,True,False
74,False,True,True,True,True
75,False,True,False,True,False
76,False,True,True,True,False
77,False,True,True,True,True
78,False,True,True,True,False
79,False,True,True,True,True
80,False,True,True,True,True
81,False,True,True,True,True
82,False,True,True,True,True
83,False,True,True,True,True
84,False,True,True,True,True
85,False,True,True,True,True
86,False,True,True,True,True
87,,,,,
88,False,True,True,True,False
89,False,True,False,True,False
90,False,True,False,True,False
91,False,True,True,True,False
92,False,True,True,True,False
93,False,True,True,True,False
94,False,True,True,True,False
95,False,False,True,True,True
96,False,True,True,True,True
97,False,True,True,True,True
98,False,True,True,True,True
99,False,True,True,True,True
100,False,True,True,True,True
101,False,True,True,True,True
102,False,True,True,True,False
103,False,True,True,True,True
104,False,True,True,True,False
105,False,True,True,True,False
106,False,True,True,True,False
107,False,True,True,True,True
108,False,True,False,True,False
109,False,True,True,True,False
110,False,True,True,True,True
111,False,True,True,True,True
112,False,True,True,True,False
113,False,True,True,True,True
114,False,True,True,True,True
115,False,True,True,True,True
116,False,True,True,True,True
117,False,True,True,True,True
118,False,True,True,True,True
119,False,True,True,True,True
120,False,True,True,True,True
121,False,True,True,True,True
