,sync,n_gaze_face,a_gaze_face,n_gaze_mask,a_gaze_mask
0,,,,,
1,,,,,
2,,,,,
3,,,,,
4,,,,,
5,,,,,
6,,,,,
7,,,,,
8,,,,,
9,,,,,
10,,,,,
11,,,,,
12,,,,,
13,,,,,
14,,,,,
15,False,False,False,False,False
16,False,False,False,False,False
17,True,False,False,False,False
18,False,False,False,False,False
19,True,False,False,False,False
20,False,True,False,True,False
21,False,True,False,True,False
22,False,True,False,True,False
23,False,True,False,True,False
24,False,True,False,True,False
25,False,True,False,True,False
26,False,True,False,True,False
27,False,True,True,True,True
28,False,True,True,True,True
29,False,True,False,True,False
30,False,True,False,True,False
31,False,True,False,True,False
32,False,True,False,True,False
33,False,True,False,True,False
34,True,False,False,False,False
35,True,False,False,False,False
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,False,False,False,False,False
43,False,False,False,False,False
44,,,,,
45,False,False,False,False,False
46,False,False,False,False,False
47,False,False,False,False,False
48,True,False,False,False,False
49,True,False,False,False,False
50,,,,,
51,True,False,False,False,False
52,False,False,False,False,False
53,False,False,False,False,False
54,False,False,False,False,False
55,False,False,False,False,False
56,False,False,False,False,False
57,False,False,False,False,False
58,False,False,False,False,False
59,False,False,False,False,False
60,False,False,False,False,False
61,False,False,False,False,False
62,False,False,False,False,False
63,False,False,False,False,False
64,False,False,False,False,False
65,False,False,False,False,False
66,True,False,False,False,False
67,False,False,False,False,False
68,False,True,False,True,False
69,False,True,False,True,False
70,False,True,False,True,False
71,False,True,False,True,False
72,False,True,False,True,False
73,False,True,False,True,False
74,,,,,
75,False,True,False,True,False
76,False,True,False,True,False
77,False,True,False,True,False
78,False,True,False,True,False
79,False,True,False,True,False
80,True,False,False,False,False
81,False,False,False,False,False
82,,,,,
83,True,False,False,False,False
84,,,,,
85,,,,,
86,,,,,
87,,,,,
88,,,,,
89,,,,,
90,False,False,False,False,False
91,False,False,False,False,False
92,False,False,False,False,False
93,,,,,
94,False,False,False,False,False
95,False,False,False,False,False
96,False,False,False,False,False
97,False,False,False,False,False
98,,,,,
99,False,False,False,False,False
100,,,,,
101,,,,,
102,,,,,
103,,,,,
104,,,,,
105,,,,,
106,,,,,
107,False,False,False,False,False
108,,,,,
109,,,,,
110,False,False,False,False,False
111,,,,,
112,,,,,
113,,,,,
114,,,,,
115,,,,,
116,,,,,
117,,,,,
118,,,,,
119,,,,,
120,False,True,False,True,False
121,False,True,True,True,True
122,False,True,True,True,True
123,False,True,True,True,True
124,False,True,False,True,False
125,False,True,False,True,False
126,False,False,False,False,False
127,False,False,False,False,False
128,False,False,False,False,False
129,True,False,False,False,False
130,False,False,False,False,False
131,False,False,False,False,False
132,False,False,False,False,False
133,False,False,False,False,False
134,False,False,False,False,False
135,False,False,False,False,False
136,False,False,False,False,False
137,False,False,False,False,False
