,sync,n_gaze_face,a_gaze_face,n_gaze_mask,a_gaze_mask
0,,,,,
1,False,True,True,True,True
2,,,,,
3,,,,,
4,,,,,
5,,,,,
6,False,False,False,False,False
7,False,False,False,False,False
8,False,False,False,False,False
9,False,False,False,False,False
10,,,,,
11,,,,,
12,,,,,
13,,,,,
14,,,,,
15,,,,,
16,,,,,
17,False,True,False,True,False
18,False,True,False,True,False
19,False,False,False,False,False
20,False,False,False,False,False
21,False,False,False,False,False
22,,,,,
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,False,True,False,True,False
28,False,True,False,True,False
29,False,False,False,False,False
30,False,False,False,False,False
31,False,False,False,False,False
32,False,False,False,False,False
33,False,False,False,False,False
34,,,,,
35,,,,,
36,True,False,False,False,False
37,True,False,False,False,False
38,False,False,False,False,False
39,True,False,False,False,False
40,False,False,False,False,False
41,False,False,False,False,False
42,True,False,False,False,False
43,,,,,
44,,,,,
45,False,False,False,False,False
46,False,False,False,False,False
47,False,False,False,False,False
48,,,,,
49,,,,,
50,,,,,
51,,,,,
52,,,,,
53,True,False,False,False,False
54,True,False,False,False,False
55,True,False,False,False,False
56,True,False,False,False,False
57,True,False,False,False,False
58,False,False,False,False,False
59,False,False,False,False,False
60,False,False,False,False,False
61,True,False,False,False,False
62,False,False,False,False,False
63,,,,,
64,,,,,
65,,,,,
66,False,True,False,True,False
67,True,False,False,False,False
68,False,False,False,False,False
69,True,False,False,False,False
70,True,False,False,False,False
71,False,False,False,False,False
72,False,False,False,False,False
73,True,False,False,False,False
74,True,False,False,False,False
75,,,,,
76,False,False,False,False,False
77,False,False,False,False,False
78,,,,,
79,True,False,False,False,False
80,False,False,False,False,False
81,True,False,False,False,False
82,True,False,False,False,False
83,False,False,False,False,False
84,False,False,False,False,False
85,False,False,False,False,False
86,False,False,False,False,False
87,False,False,False,False,False
88,False,False,False,False,False
89,False,False,False,False,False
90,False,False,False,False,False
91,True,False,False,False,False
92,True,False,False,False,False
93,True,False,False,False,False
94,True,False,False,False,False
95,False,False,False,False,False
96,True,False,False,False,False
97,False,False,False,False,False
98,False,False,False,False,False
99,True,False,False,False,False
100,False,False,False,False,False
101,False,False,False,False,False
102,True,False,False,False,False
103,True,False,False,False,False
104,False,False,False,False,False
105,,,,,
106,False,False,False,False,False
107,,,,,
108,,,,,
109,,,,,
110,,,,,
111,,,,,
112,False,False,False,False,False
113,False,False,False,False,False
114,,,,,
115,,,,,
116,,,,,
117,,,,,
118,,,,,
119,,,,,
120,,,,,
121,,,,,
122,,,,,
123,False,False,False,False,False
124,False,True,False,True,False
125,True,False,False,False,False
126,,,,,
127,,,,,
128,True,False,False,False,False
129,,,,,
130,,,,,
131,,,,,
132,,,,,
133,,,,,
134,,,,,
135,,,,,
136,,,,,
137,,,,,
138,,,,,
139,,,,,
140,,,,,
141,,,,,
142,,,,,
143,,,,,
144,,,,,
145,,,,,
146,,,,,
147,,,,,
148,,,,,
149,,,,,
150,,,,,
151,,,,,
152,,,,,
153,,,,,
154,False,False,False,False,False
155,True,False,False,False,False
156,False,False,False,False,False
157,False,False,False,False,False
158,False,False,False,False,False
159,False,False,False,False,False
160,True,False,False,False,True
161,True,False,False,False,False
162,True,False,False,False,False
163,False,False,False,False,False
164,False,True,False,True,False
165,False,True,False,True,False
166,False,True,False,True,False
167,,,,,
168,,,,,
169,,,,,
170,False,True,True,True,True
171,False,False,False,False,False
172,True,False,False,False,False
173,False,False,False,False,False
174,,,,,
175,,,,,
176,False,False,False,False,True
177,False,False,False,False,True
178,False,True,True,True,True
179,False,True,True,True,True
180,False,False,True,False,True
181,False,False,False,False,True
182,True,False,False,False,False
183,True,False,False,False,True
184,True,False,False,False,False
185,False,True,True,True,True
186,False,True,True,True,True
187,False,True,True,True,True
188,False,True,True,True,True
189,False,True,True,True,True
190,False,True,True,True,True
191,False,True,True,True,True
192,False,True,True,False,True
193,False,True,True,True,True
194,False,True,True,True,True
195,False,True,True,True,True
196,,,,,
197,,,,,
198,,,,,
199,,,,,
200,False,True,False,True,False
201,False,True,False,True,False
202,False,True,False,True,False
203,False,True,False,True,False
204,False,True,False,True,False
205,False,True,False,True,False
206,False,False,False,False,False
207,True,False,False,False,True
208,True,False,False,False,True
209,False,False,False,False,False
210,True,False,False,False,False
211,False,False,False,False,True
212,True,False,False,False,True
213,True,False,False,False,False
214,False,True,True,True,True
215,False,True,True,True,True
216,False,True,True,True,True
217,False,True,True,True,True
218,False,True,False,True,True
219,False,True,False,True,True
220,False,False,False,False,False
221,False,True,False,True,False
222,False,True,False,True,False
223,False,True,False,True,False
224,False,True,True,True,True
225,False,True,True,True,True
226,False,True,True,True,True
227,False,False,False,False,False
228,False,False,True,False,True
229,True,False,False,False,False
230,False,True,True,True,True
231,False,True,False,True,True
232,False,True,False,True,False
233,True,False,False,False,False
234,,,,,
235,False,False,True,False,True
236,False,True,True,True,True
237,False,True,False,True,True
238,False,True,False,True,False
239,False,True,False,True,False
240,True,False,False,False,False
241,False,False,False,False,False
242,False,False,False,False,False
243,,,,,
244,False,True,False,True,False
245,,,,,
246,False,True,False,True,True
247,True,False,False,True,False
248,True,False,False,True,False
249,False,True,False,True,False
250,,,,,
251,False,False,False,False,False
252,True,False,False,False,False
253,True,False,False,True,False
254,False,False,False,False,True
255,False,False,False,False,False
256,,,,,
257,,,,,
258,False,False,False,False,False
259,,,,,
260,,,,,
261,False,True,False,True,False
262,False,True,False,True,False
263,False,True,False,True,False
264,False,True,False,True,False
265,False,True,False,True,False
266,,,,,
267,False,True,False,True,True
