,sync,n_gaze_face,a_gaze_face,n_gaze_mask,a_gaze_mask
0,False,False,False,False,False
1,,,,,
2,False,False,False,False,False
3,False,False,False,False,False
4,False,False,False,False,False
5,False,False,False,False,False
6,False,False,False,False,False
7,,,,,
8,False,False,False,False,False
9,False,False,False,False,False
10,False,False,False,False,False
11,False,False,False,False,False
12,False,False,False,False,False
13,False,False,False,False,False
14,False,False,False,False,False
15,False,False,False,False,False
16,False,True,False,True,False
17,,,,,
18,,,,,
19,False,True,True,True,True
20,,,,,
21,,,,,
22,,,,,
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,,,,,
28,,,,,
29,,,,,
30,False,True,True,True,True
31,False,True,True,True,True
32,False,True,True,True,True
33,,,,,
34,,,,,
35,False,True,True,True,True
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,False,False,True,False,True
44,,,,,
45,,,,,
46,False,True,True,True,True
47,False,True,True,True,True
48,False,True,True,True,True
49,False,True,True,True,True
50,,,,,
51,,,,,
52,,,,,
53,,,,,
54,,,,,
55,,,,,
56,,,,,
57,,,,,
58,,,,,
59,,,,,
60,,,,,
61,False,True,True,True,True
62,,,,,
63,False,True,True,True,True
64,False,True,False,True,False
65,False,True,True,True,True
66,,,,,
67,False,True,True,True,True
68,,,,,
69,,,,,
70,,,,,
71,,,,,
72,,,,,
73,,,,,
74,,,,,
75,,,,,
76,,,,,
77,,,,,
78,,,,,
79,,,,,
80,,,,,
81,,,,,
82,,,,,
83,False,True,True,True,True
84,False,True,True,True,True
85,False,True,True,True,True
86,False,True,True,True,True
87,False,True,True,True,True
88,False,True,False,True,False
89,False,False,False,True,False
90,False,True,True,True,True
91,False,False,True,True,True
92,,,,,
93,False,True,True,True,True
94,,,,,
95,,,,,
96,,,,,
97,False,True,True,True,True
98,False,True,False,True,False
99,,,,,
100,False,True,False,True,False
101,,,,,
102,False,True,True,True,True
103,False,True,True,True,True
104,,,,,
105,False,True,True,True,True
106,False,True,True,True,True
107,False,True,True,True,True
108,,,,,
109,,,,,
110,,,,,
111,False,True,True,True,True
112,False,True,True,True,True
113,False,True,True,True,True
114,False,True,False,True,False
115,False,False,False,True,False
