,sync,n_gaze_face,a_gaze_face,n_gaze_mask,a_gaze_mask
0,,,,,
1,,,,,
2,,,,,
3,,,,,
4,,,,,
5,True,False,False,False,False
6,,,,,
7,,,,,
8,True,False,False,False,False
9,,,,,
10,,,,,
11,,,,,
12,,,,,
13,,,,,
14,,,,,
15,,,,,
16,False,True,True,True,False
17,False,True,True,True,False
18,False,True,True,True,False
19,False,True,True,True,True
20,False,True,False,True,False
21,False,True,False,True,False
22,False,True,False,True,False
23,False,True,False,True,False
24,False,True,False,True,False
25,False,False,False,True,False
26,,,,,
27,,,,,
28,,,,,
29,,,,,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
45,,,,,
46,,,,,
47,,,,,
48,,,,,
49,,,,,
50,,,,,
51,,,,,
52,,,,,
53,,,,,
54,,,,,
55,,,,,
56,False,True,False,True,False
57,False,True,True,True,True
58,False,True,True,True,True
59,False,True,True,True,False
60,False,True,True,True,False
61,False,True,True,True,False
62,False,True,True,True,True
63,False,True,True,True,False
64,False,True,False,True,False
65,False,True,True,True,True
66,False,True,True,True,False
67,False,True,True,True,True
68,False,True,True,True,True
69,False,True,True,True,True
70,False,True,True,True,False
71,False,True,True,True,False
72,False,True,True,True,False
73,False,True,True,True,False
74,False,True,True,True,False
75,False,True,True,True,False
76,False,True,True,True,True
77,False,False,True,True,True
78,False,False,True,True,True
79,False,True,True,True,True
80,False,True,True,True,False
81,False,True,True,True,False
82,False,True,True,True,False
83,False,True,True,True,True
84,False,True,True,True,True
85,False,True,True,True,False
86,False,True,True,True,True
87,False,True,True,True,False
88,False,True,True,True,False
89,False,True,True,True,False
90,False,True,True,True,True
91,False,True,True,True,False
92,False,True,True,True,True
93,False,True,True,True,False
94,False,True,True,True,True
95,False,True,True,True,True
96,False,True,True,True,True
97,False,True,True,True,False
98,False,True,True,True,True
99,False,True,True,True,False
100,False,True,True,True,False
101,False,True,True,True,True
102,False,True,True,True,True
103,False,True,True,True,True
104,False,True,True,True,False
105,False,True,True,True,True
106,False,True,True,True,False
107,False,True,True,True,False
108,False,True,True,True,False
109,False,True,True,True,False
110,False,True,True,True,False
111,,,,,
112,,,,,
113,,,,,
114,,,,,
115,,,,,
116,False,True,True,True,True
117,False,True,True,True,True
118,False,True,True,True,True
119,False,True,True,True,True
120,False,True,True,True,True
121,False,True,True,True,True
122,False,True,True,True,True
123,False,True,True,True,True
124,False,True,True,True,True
125,False,True,True,True,False
126,False,True,True,True,False
127,False,True,True,True,True
128,False,True,True,True,True
129,False,True,True,True,True
130,False,True,False,True,False
131,False,True,True,True,True
132,False,True,True,True,False
133,False,True,True,True,False
134,False,True,True,True,False
135,False,True,True,True,False
136,False,True,True,True,False
