,sync,n_gaze_face,a_gaze_face,n_gaze_mask,a_gaze_mask
0,,,,,
1,,,,,
2,,,,,
3,,,,,
4,,,,,
5,,,,,
6,,,,,
7,,,,,
8,,,,,
9,,,,,
10,,,,,
11,,,,,
12,,,,,
13,,,,,
14,False,True,True,True,True
15,False,True,True,True,True
16,False,True,True,True,True
17,,,,,
18,,,,,
19,,,,,
20,,,,,
21,,,,,
22,,,,,
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,,,,,
28,False,True,True,True,True
29,False,True,True,True,True
30,,,,,
31,,,,,
32,False,True,True,True,True
33,False,True,True,True,True
34,False,True,True,True,True
35,False,True,True,False,True
36,False,True,True,True,True
37,False,True,True,True,True
38,False,True,True,True,True
39,False,True,True,True,True
40,False,True,True,True,True
41,False,True,True,True,True
42,False,True,True,True,True
43,False,True,True,False,True
44,False,False,True,True,True
45,False,False,True,False,True
46,False,False,True,False,True
47,False,True,True,True,True
48,,,,,
49,,,,,
50,,,,,
51,False,True,True,True,True
52,False,True,True,True,True
53,False,True,True,True,True
54,False,True,True,True,True
55,False,True,True,True,True
56,False,False,True,False,True
57,False,False,True,True,True
58,False,True,True,True,True
59,False,True,True,True,True
60,False,False,True,True,True
61,False,False,True,False,True
62,False,True,True,True,True
63,False,True,True,True,True
64,False,True,True,True,True
65,False,True,True,True,True
66,False,True,True,True,True
67,,,,,
68,,,,,
69,,,,,
70,,,,,
71,False,True,True,True,True
72,False,True,True,True,True
73,False,True,True,True,True
74,False,True,True,True,True
75,False,True,True,True,True
76,False,True,True,True,True
77,,,,,
78,,,,,
79,,,,,
80,False,True,True,True,True
81,False,True,True,True,True
82,False,True,True,True,True
83,False,True,True,True,True
84,False,True,True,True,True
85,False,True,True,True,True
86,False,True,True,True,True
87,False,True,True,True,True
88,False,True,True,True,True
89,False,True,True,True,True
90,False,True,True,True,True
91,False,True,True,False,True
92,False,True,True,True,True
93,False,True,True,True,True
94,False,True,True,True,True
95,False,True,True,True,True
96,False,True,True,True,True
97,False,False,True,False,True
98,False,False,True,True,True
99,False,False,True,True,True
100,False,True,True,True,True
101,False,True,True,True,True
102,False,True,True,False,True
103,False,True,True,True,True
104,False,True,True,True,True
105,False,True,True,True,True
106,False,True,True,True,True
107,False,True,True,True,True
108,False,True,True,True,True
109,False,True,True,True,True
110,False,False,True,True,True
111,False,True,True,True,True
112,False,True,True,True,True
113,False,False,True,False,True
114,,,,,
115,,,,,
116,False,False,True,False,True
117,,,,,
118,False,False,True,True,True
119,False,True,True,True,True
120,False,True,True,True,True
121,False,True,True,True,True
122,False,True,True,True,True
123,False,False,True,True,True
124,False,True,True,True,True
125,False,True,True,True,True
126,False,True,True,True,True
127,False,False,True,False,True
128,,,,,
129,,,,,
130,,,,,
131,,,,,
132,,,,,
133,,,,,
134,,,,,
135,,,,,
136,,,,,
